Variable,Mutual_Information,Normalized_MI
Distance_to_Main_5K,0.26546670090140845,0.3829874929116157
reads,0.18250263125242006,0.26329564105705355
is_match,0.10503429418671328,0.15153245534644375
total_asv_reads,0.04797424304683506,0.06921220253407079
has_MMG,0.033129233836237004,0.047795381363989975
asv_count,0.019220324353655727,0.02772906662929649
