Variable,Importance,Std
Distance_to_Main_5K,0.5686361557774989,0.3100006646386526
reads,0.25616482387265116,0.2850551023733539
is_match,0.14075767996240765,0.17285019067776575
total_asv_reads,0.02030305063721253,0.04001533572944019
asv_count,0.013272479976241213,0.03058999301297328
has_MMG,0.0008658097739884941,0.0015771587358613568
