MRCT,Records_retained,Records_removed,Pct_retained,Auth_retained,Auth_removed_FN,Sensitivity,Precision,Artifact_removal_rate,Artifacts_retained,NUMTs_retained,EnvContam_retained
1,175111,842,99.52089750730305,15921,0,100.0,9.091947393367636,0.0,83709,36214,39267
2,119092,56861,67.68359912249792,15921,0,100.0,13.368656164981696,66.92111959287533,27690,36214,39267
3,101058,74895,57.43432942700933,15921,0,100.0,15.754319301787092,88.46480067854114,9656,36214,39267
4,91402,84551,51.94653147981859,15921,0,100.0,17.418656046913632,100.0,0,36214,39267
5,79122,96831,44.96743467042523,15744,177,98.88826078763897,19.898384772882384,100.0,0,30587,32791
8,60485,115468,34.37546176841674,15424,497,96.8783367878902,25.500537323303295,100.0,0,21906,23155
10,53833,122120,30.59492821987565,15224,697,95.62213428804723,28.280051269667304,100.0,0,18709,19900
15,43913,132040,24.95709105789013,14922,999,93.72526851328435,33.980825723589824,100.0,0,13829,15162
20,38030,137923,21.613603555474725,14666,1255,92.11732931348533,38.56429134893505,100.0,0,10933,12431
