asv_id,total_reads
1SO12193,5.0
1SO12196,5.0
1SO12197,1.0
1SO12199,1.0
1SO122,196.0
1SO12207,1.0
1SO12210,2.0
1SO12211,3.0
1SO12214,4.0
1SO12215,2.0
1SO12218,1.0
1SO12219,5.0
1SO12222,4.0
1SO12225,5.0
1SO12226,4.0
1SO12227,1.0
1SO12229,5.0
1SO12230,5.0
1SO12231,1.0
1SO12232,1.0
1SO12235,5.0
1SO12237,1.0
1SO12241,5.0
1SO12242,5.0
1SO12243,5.0
1SO12247,4.0
1SO12248,5.0
1SO12249,1.0
1SO1226,1.0
1SO1228,739.0
1SO123,662.0
1SO1231,5.0
1SO12319,5.0
1SO1232,737.0
1SO12330,4.0
1SO12333,4.0
1SO12334,4.0
1SO1234,1.0
1SO12340,4.0
1SO12342,4.0
1SO12343,4.0
1SO12345,4.0
1SO12349,4.0
1SO1235,735.0
1SO12351,4.0
1SO12357,4.0
1SO12360,3.0
1SO12367,4.0
1SO12368,4.0
1SO1237,733.0
1SO12371,4.0
1SO12372,4.0
1SO12373,4.0
1SO12377,4.0
1SO12379,4.0
1SO12380,4.0
1SO12381,4.0
1SO12382,3.0
1SO12387,4.0
1SO12388,4.0
1SO1239,733.0
1SO12390,4.0
1SO12392,4.0
1SO12394,4.0
1SO12396,4.0
1SO12402,4.0
1SO12404,4.0
1SO12405,4.0
1SO12407,4.0
1SO1241,719.0
1SO12410,4.0
1SO12412,4.0
1SO12414,4.0
1SO12416,4.0
1SO12417,4.0
1SO1242,120.0
1SO12420,4.0
1SO12421,4.0
1SO12422,4.0
1SO12425,4.0
1SO1243,726.0
1SO12431,4.0
1SO12433,4.0
1SO12434,1.0
1SO12435,4.0
1SO12436,4.0
1SO12438,4.0
1SO12442,4.0
1SO12443,4.0
1SO12444,4.0
1SO12447,4.0
1SO12449,4.0
1SO1245,728.0
1SO12452,4.0
1SO12456,4.0
1SO12457,4.0
1SO1246,728.0
1SO12460,4.0
1SO12462,4.0
1SO12465,4.0
1SO12466,4.0
1SO12467,4.0
1SO12470,4.0
1SO12471,4.0
1SO12472,4.0
1SO12473,4.0
1SO12479,4.0
1SO1248,723.0
1SO12482,4.0
1SO12483,4.0
1SO12484,4.0
1SO12488,4.0
1SO12489,4.0
1SO12490,4.0
1SO12493,4.0
1SO12494,4.0
1SO12495,4.0
1SO12496,4.0
1SO12497,4.0
1SO12499,4.0
1SO12500,4.0
1SO12503,4.0
1SO12507,4.0
1SO12508,4.0
1SO1251,725.0
1SO12515,4.0
1SO12516,4.0
1SO12520,3.0
1SO12521,4.0
1SO12522,4.0
1SO12523,4.0
1SO12525,3.0
1SO12526,4.0
1SO12529,2.0
1SO12531,1.0
1SO12534,4.0
1SO12538,1.0
1SO12539,4.0
1SO12544,4.0
1SO12546,4.0
1SO12551,4.0
1SO12558,2.0
1SO1256,723.0
1SO12562,4.0
1SO12564,4.0
1SO12569,4.0
1SO1257,693.0
1SO12571,4.0
1SO12572,4.0
1SO12574,4.0
1SO12575,4.0
1SO12576,4.0
1SO12578,4.0
1SO1258,418.0
1SO12586,4.0
1SO12587,4.0
1SO1259,719.0
1SO12590,4.0
1SO12591,4.0
1SO12592,4.0
1SO12593,4.0
1SO12595,4.0
1SO126,3656.0
1SO1260,1.0
1SO12603,4.0
1SO12606,4.0
1SO12607,4.0
1SO12609,4.0
1SO12611,4.0
1SO12615,4.0
1SO12616,4.0
1SO12617,4.0
1SO12618,3.0
1SO12619,4.0
1SO1262,714.0
1SO12620,4.0
1SO12621,4.0
1SO12622,3.0
1SO12624,4.0
1SO12626,4.0
1SO1263,713.0
1SO12633,4.0
1SO12637,1.0
1SO1264,712.0
1SO12643,4.0
1SO1265,4.0
1SO12650,4.0
1SO12656,4.0
1SO12662,4.0
1SO12663,4.0
1SO12664,4.0
1SO12670,4.0
1SO12674,4.0
1SO12678,4.0
1SO1268,3.0
1SO12682,4.0
1SO12684,4.0
1SO12685,4.0
1SO12686,4.0
1SO12687,4.0
1SO12689,4.0
1SO1269,708.0
1SO12690,4.0
1SO12694,4.0
1SO12695,4.0
1SO12696,4.0
1SO12699,4.0
1SO1270,1.0
1SO12701,4.0
1SO12703,4.0
1SO12704,4.0
1SO12706,4.0
1SO1271,709.0
1SO12710,4.0
1SO12718,4.0
1SO1272,1.0
1SO12721,2.0
1SO12726,4.0
1SO12727,4.0
1SO1273,542.0
1SO12731,4.0
1SO12733,4.0
1SO12736,4.0
1SO12739,4.0
1SO12741,4.0
1SO12743,4.0
1SO12746,4.0
1SO12747,4.0
1SO12748,4.0
1SO12749,4.0
1SO12750,4.0
1SO12752,4.0
1SO12754,3.0
1SO12756,4.0
1SO12757,4.0
1SO12758,4.0
1SO12762,4.0
1SO12763,4.0
1SO12764,4.0
1SO12766,4.0
1SO12770,4.0
1SO12771,4.0
1SO12775,4.0
1SO12777,4.0
1SO12785,4.0
1SO12789,4.0
1SO12795,4.0
1SO12798,4.0
1SO12799,4.0
1SO128,1.0
1SO1280,700.0
1SO12807,4.0
1SO12808,4.0
1SO1281,699.0
1SO12814,4.0
1SO12818,4.0
1SO12819,4.0
1SO1282,394.0
1SO12821,4.0
1SO12828,4.0
1SO1283,698.0
1SO12834,4.0
1SO12836,4.0
1SO12838,1.0
1SO12839,2.0
1SO12840,4.0
1SO12841,4.0
1SO12842,4.0
1SO12848,4.0
1SO12853,4.0
1SO12858,4.0
1SO1286,1.0
1SO12863,4.0
1SO12864,3.0
1SO12865,4.0
1SO12866,4.0
1SO12867,4.0
1SO12868,4.0
1SO12873,4.0
1SO12874,4.0
1SO12875,4.0
1SO12877,4.0
1SO12879,4.0
1SO12880,4.0
1SO12883,4.0
1SO12884,4.0
1SO12885,4.0
1SO12888,4.0
1SO12890,4.0
1SO12898,4.0
1SO12899,4.0
1SO1290,693.0
1SO12900,4.0
1SO12901,4.0
1SO12905,4.0
1SO12907,4.0
1SO12908,4.0
1SO12909,4.0
1SO1291,1.0
1SO12910,4.0
1SO12911,4.0
1SO12913,4.0
1SO12914,4.0
1SO12917,4.0
1SO12918,4.0
1SO12919,4.0
1SO1292,691.0
1SO12920,4.0
1SO12923,4.0
1SO12927,4.0
1SO12928,4.0
1SO1293,691.0
1SO12930,4.0
1SO12932,4.0
1SO12936,4.0
1SO12937,4.0
1SO12938,4.0
1SO12941,4.0
1SO12943,2.0
1SO12945,4.0
1SO12949,4.0
1SO1295,17.0
1SO12950,4.0
1SO12952,4.0
1SO12953,4.0
1SO12955,4.0
1SO12961,4.0
1SO12962,4.0
1SO12969,1.0
1SO1297,381.0
1SO12972,4.0
1SO12975,4.0
1SO12979,4.0
1SO1298,302.0
1SO12981,4.0
1SO12982,4.0
1SO12983,4.0
1SO12987,4.0
1SO12988,4.0
1SO1299,685.0
1SO12992,4.0
1SO12995,4.0
1SO12998,4.0
1SO12999,4.0
1SO13,10.0
1SO130,4628.0
1SO13002,4.0
1SO13006,4.0
1SO13008,4.0
1SO13009,4.0
1SO1301,9.0
1SO13013,4.0
1SO13014,3.0
1SO13015,4.0
1SO13019,4.0
1SO13020,4.0
1SO13027,4.0
1SO1303,682.0
1SO13031,4.0
1SO13035,4.0
1SO13037,4.0
1SO1304,681.0
1SO13043,4.0
1SO13044,4.0
1SO13045,4.0
1SO13046,2.0
1SO13048,4.0
1SO1305,680.0
1SO13050,4.0
1SO13051,4.0
1SO13052,4.0
