read_bin,Authenticated,Environmental_Contamination,Failed,Nuclear_Pseudogenes,Technical_Artifacts
1,0,0,0,0,56019
2,0,0,0,0,18034
3,0,0,0,0,9656
4,177,6476,0,5627,0
5,111,4316,0,3649,0
6-10,464,9802,0,9476,0
11-20,549,6629,0,6972,0
21-50,1034,5307,0,6137,0
51-100,1082,2442,0,2189,0
101-500,3754,2745,0,1730,0
501-1000,2158,640,0,210,0
>1000,6592,910,0,224,0
