Category,Count,Percentage,Mean_Phylo,Median_Phylo
Technical Artifacts (reads <4),102083,58.01686804505724,1.2438170691715809,1.13565
Environmental DNA,24977,14.195187378519385,1.7218656728189934,1.28249
Cross-Sample Contamination,13163,7.480932516453163,1.0233045403434127,1.08308
Intra-Species Variants (NUMTs),19830,11.269991020380326,0.14332981643973777,0.05254
