Metric,Value
Total Specimens,18533.0
Total ASV Records,175954.0
Unique ASVs,64544.0
Unique ASVs (≥4 reads),57976.0
Specimens (≥4 reads),17007.0
Authenticated Specimens,14715.0
Success Rate (%),86.52
