SECTION A: Pipeline Feature Comparison (DADA2 vs Our Authentication Framework)
Feature,DADA2 Pipeline,Our Framework
Denoising algorithm,DADA2 divisive amplicon denoising,VSEARCH UNOISE3
Error model,Parametric error model (learned from data),Alpha-based error correction (α=2)
Chimera detection,removeBimeraDenovo (consensus/pooled),UCHIME3 de novo
Minimum abundance threshold,Implicit (error model-based),MRCT = 4 reads (empirically optimised)
Length filtering,User-specified (optional),418 bp (expected COI amplicon)
Translation validation,Not included,Invertebrate mitochondrial code (Table 5)
Specimen-level authentication,Not included,Yes (specimen-ASV abundance matching)
Phylogenetic placement,Not included,"Yes (13,380-taxon reference tree)"
Taxonomic congruence check,Not included,Yes (3-level family/subfamily verification)
NUMT detection,Not included,Yes (abundance + phylogenetic distance)
Cross-contamination detection,Not included,Yes (specimen co-occurrence analysis)
Environmental contamination detection,Not included,Yes (taxonomic incongruence detection)
Intra-individual variant classification,Not included,Yes (NUMT vs heteroplasmy classification)
Multi-category ASV classification,Not included (binary: ASV or error),"Yes (5 categories: Auth, NUMT, Cross, Env, Tech)"
Quality-weighted scoring,Not included,Yes (ML-based confidence scoring)

SECTION B: Authentication Gap Analysis (Records retained by denoising approach)
Scenario,Records_retained,Authenticated,NUMTs_present,Environmental_contamination_present,Technical_artifacts_present
DADA2-like (reads≥2),119092,15921,36214,39267,27690
MRCT=4 (our pipeline),91402,15921,36214,39267,0
Full authentication framework,15921,15921,0,0,0

SECTION C: MRCT Threshold Sensitivity Analysis
MRCT,Records_retained,Records_removed,Pct_retained,Auth_retained,Auth_removed_FN,Sensitivity,Precision,Artifact_removal_rate,Artifacts_retained,NUMTs_retained,EnvContam_retained
1,175111,842,99.52,15921,0,100.0,9.09,0.0,83709,36214,39267
2,119092,56861,67.68,15921,0,100.0,13.37,66.92,27690,36214,39267
3,101058,74895,57.43,15921,0,100.0,15.75,88.46,9656,36214,39267
4,91402,84551,51.95,15921,0,100.0,17.42,100.0,0,36214,39267
5,79122,96831,44.97,15744,177,98.89,19.90,100.0,0,30587,32791
8,60485,115468,34.38,15424,497,96.88,25.50,100.0,0,21906,23155
10,53833,122120,30.59,15224,697,95.62,28.28,100.0,0,18709,19900
15,43913,132040,24.96,14922,999,93.73,33.98,100.0,0,13829,15162
20,38030,137923,21.61,14666,1255,92.12,38.56,100.0,0,10933,12431
